name,scr,naming,conditional,events,loop,proc,lists,dp,sensors,media,social,connect,draw,operator,ui,total
popGoogle0318204606,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,5
popGPSTracker0318204719,2,2,1,3,0,0,0,2,2,0,1,1,0,2,3,19
pophomework0318210055,1,3,2,1,2,2,2,0,0,0,0,0,0,3,2,18
popIHaveaDream0318204051,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
popIHLogoQuiz0318205909,3,1,0,2,0,0,0,0,0,1,0,0,0,0,2,9
popMath0318205510,1,2,2,2,2,2,2,0,0,1,0,0,0,3,2,19
popMemorygame0318210158,3,1,2,2,0,0,0,0,1,0,0,0,0,3,3,15
popMessenger0318205635,2,2,1,3,0,0,0,0,0,0,2,0,1,3,2,16
popMoleMush20318205741,1,2,0,2,3,1,1,0,1,1,0,0,3,2,2,19
popMulticolorS0318204417,2,1,2,3,0,0,0,0,1,0,0,0,0,3,2,14
popMultifuncti0318203934,3,0,3,3,0,0,2,3,1,0,0,0,0,3,3,21
popNonSoloRadio0318205613,1,2,2,3,2,3,2,3,3,3,2,3,0,3,3,35
popPlaysportga0318205945,2,1,1,3,0,0,2,2,1,0,0,0,0,2,3,17
popPong0318205836,1,2,2,3,0,3,0,0,0,1,0,0,3,3,2,20
popQuiz0318204450,1,2,1,2,2,3,2,0,0,0,0,0,0,3,1,17
popRockScissor0318204556,2,3,1,3,0,3,0,0,1,3,0,0,0,3,3,22
popSchoolClass0318205920,2,1,3,3,0,0,2,3,1,0,0,0,0,3,3,21
popShopApp0318204213,3,1,3,3,3,3,2,3,1,3,1,1,1,3,3,34
popSpaceinvade0318204127,1,2,0,0,0,0,0,1,1,0,0,0,3,0,2,10
popSTOPWATCHAPP0318210106,1,3,1,2,0,0,0,0,1,0,0,0,0,3,2,13
popsuperminigo0318205730,1,2,2,3,0,0,0,0,1,1,0,0,3,3,2,18
popTalkingManH0318204338,2,0,0,3,0,0,0,0,1,1,0,0,0,0,1,8
popTalkToMe0318205542,1,1,0,2,0,0,0,0,1,1,0,0,0,0,0,6
popTapTheKhaled0318204707,1,3,0,2,0,3,0,0,1,1,0,0,3,3,1,18
popthetestfinal0318210044,1,2,1,2,0,0,0,0,0,0,0,2,0,3,3,14
popTicTacToe0318203953,2,1,2,3,0,0,0,2,0,0,0,0,0,3,2,15
popWackyMinigo0318205847,1,2,0,0,0,0,0,2,1,2,0,0,3,0,2,13
popWhatsAppInv0318205530,2,3,2,3,2,3,0,0,1,0,0,0,0,3,3,22
popWheresMyLau0318204535,1,2,3,2,3,0,2,2,1,0,1,0,0,2,2,21
popWWWine0318205520,3,2,0,2,0,0,0,0,0,0,0,0,0,0,3,10
pr0001112223330318232700,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,6
pr0218000817,1,2,2,3,0,1,0,0,1,0,2,0,0,3,3,18
pr0218001622,2,2,1,3,0,2,0,0,1,0,0,0,3,3,3,20
pr0218001957,1,3,0,1,0,0,0,0,0,1,0,0,0,0,1,7
pr0318104634,1,3,2,3,0,2,0,0,1,1,0,2,0,3,3,21
pr0318111723,1,2,1,3,0,3,0,0,1,0,0,0,3,3,2,19
pr0318111808,3,2,2,3,0,0,0,0,1,1,0,1,0,3,3,19
pr0318122007,1,3,1,1,1,0,0,0,0,0,0,0,0,3,1,11
pr0318174854,1,1,1,2,0,0,0,0,0,0,2,0,0,2,0,9
pr0318181725,2,2,0,2,0,1,0,0,1,1,0,0,0,0,1,10
pr0318194857,3,1,0,2,0,0,0,0,2,0,0,0,0,0,3,11
pr0318195624,3,2,0,1,0,0,0,0,0,1,0,0,0,0,2,9
pr0318203117,1,0,2,3,2,2,2,1,0,0,0,0,0,3,3,19
